Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-April-2018,927.30,942.95,926.00,935.15,935.314811788076139706,159076,3460,148786139.00,45987,28.91,16.95,7.85
20-April-2018,939.00,941.60,921.45,928.05,927.183351479113741473,214926,3479,199275809.00,100231,46.64,20.15,-10.95
19-April-2018,938.20,943.95,935.10,941.25,940.753225784419522723,366035,3423,344348607.00,183260,50.07,8.85,3.05
18-April-2018,945.00,948.25,934.00,937.00,939.485787397169641510,205557,2922,193117880.00,112215,54.59,14.25,-8.00
17-April-2018,938.25,947.50,936.10,943.70,941.844371396090999986,365055,6860,343824997.00,183393,50.24,11.40,5.45
16-April-2018,935.00,939.90,928.30,937.25,933.044785738028532083,147413,2950,137542931.00,74326,50.42,11.60,2.25
13-April-2018,931.15,941.40,929.10,938.85,935.733485851330871493,723849,9567,677329748.00,521654,72.07,12.30,7.70
12-April-2018,930.00,935.30,923.10,927.55,927.579473587529850158,381070,4237,353472710.00,212657,55.81,12.20,-2.45
11-April-2018,920.10,931.00,916.65,929.05,927.690465113127690424,442774,7573,410757218.00,210096,47.45,14.35,8.95
10-April-2018,918.00,922.45,913.35,916.45,917.237483617300131061,518840,5209,475899496.00,300705,57.96,9.10,-1.55
9-April-2018,912.95,917.75,911.40,916.05,915.380146698591665919,289846,3741,265319274.00,147982,51.06,6.35,3.10
6-April-2018,909.90,917.20,905.00,909.75,911.158297967335830129,421073,5884,383664158.00,210382,49.96,12.20,-0.15
5-April-2018,902.55,910.00,902.55,906.75,906.228587934378067035,465637,5262,421973561.00,271799,58.37,7.45,4.20
4-April-2018,905.50,911.15,892.35,895.10,900.862893790586593677,186330,4054,167857783.00,61876,33.21,18.80,-10.40
3-April-2018,890.00,901.00,886.10,898.80,892.119040152386262006,172194,3819,153617546.00,49256,28.60,14.90,8.80
2-April-2018,890.50,901.20,886.40,892.70,894.741046046472040173,469960,11393,420492502.00,266837,56.78,14.80,2.20
28-March-2018,895.05,896.00,881.00,882.80,887.848067925622307139,324237,7597,287873194.00,148827,45.90,15.00,-12.25
27-March-2018,905.05,910.05,897.50,899.95,903.431507807037986483,300370,3518,271363722.00,196270,65.34,12.55,-5.10
26-March-2018,892.85,904.50,892.00,901.05,898.382345008487976688,567273,9791,509628048.00,374948,66.10,12.50,8.20
23-March-2018,893.40,899.70,890.00,892.85,894.565421481250150142,416270,6301,372380748.00,180963,43.47,9.70,-0.55
22-March-2018,896.50,910.60,895.20,907.30,907.238785448366264537,810933,7468,735709870.00,470988,58.08,15.40,10.80
21-March-2018,895.80,901.95,892.00,896.35,897.261178458455311707,254485,3933,228339511.00,95436,37.50,9.95,0.55
20-March-2018,899.10,903.60,887.00,889.55,894.064116162411742261,285669,5456,255406402.00,109966,38.49,16.60,-9.55
19-March-2018,903.80,906.10,892.35,895.30,898.137556364226275407,271227,4865,243599155.00,64859,23.91,13.75,-8.50
16-March-2018,910.00,910.00,886.40,900.50,898.571969542800115264,614239,11220,551937948.00,231580,37.70,23.60,-9.50
15-March-2018,928.70,928.70,910.00,912.25,918.801613282713707674,344267,4218,316313075.00,94973,27.59,18.70,-16.45
14-March-2018,926.55,931.20,919.55,928.60,924.457335227272727272,176000,3231,162704491.00,62237,35.36,11.65,2.05
13-March-2018,929.35,935.35,921.60,930.60,929.480524624126007281,196941,3754,183052824.00,62160,31.56,13.75,1.25
12-March-2018,918.90,933.00,916.20,929.35,924.158886732288922778,288520,5429,266638322.00,105916,36.71,16.80,10.45
9-March-2018,915.00,919.00,910.00,912.05,914.285692634131555016,178146,3546,162876339.00,56249,31.57,9.00,-2.95
8-March-2018,899.70,913.90,894.30,911.60,905.155769402861051097,312892,7503,283215999.00,93946,30.03,19.60,11.90
7-March-2018,908.60,909.30,888.30,891.55,898.294410210354404341,337383,8143,303069263.00,111215,32.96,21.00,-17.05
6-March-2018,929.70,936.00,903.15,910.90,922.448878229601965874,288116,4989,265772281.00,98084,34.04,32.85,-18.80
5-March-2018,944.50,949.90,922.00,924.20,935.068594126896069783,652534,6613,610164050.00,169752,26.01,27.90,-20.30
1-March-2018,950.85,958.80,946.00,947.70,951.092438715617447347,173780,3916,165280844.00,50666,29.16,12.80,-3.15
28-February-2018,944.50,954.90,937.00,952.45,949.645651103953855851,231622,4695,219958825.00,66435,28.68,17.90,7.95
27-February-2018,939.00,955.50,938.60,949.95,949.212845854422611602,342196,6700,324816839.00,138050,40.34,16.90,10.95
26-February-2018,936.10,944.75,936.10,938.60,941.320945518897737327,197775,3734,186169750.00,75481,38.17,8.65,2.50
23-February-2018,924.20,937.00,923.75,934.00,932.125452045275484587,204349,4145,190478904.00,63783,31.21,13.25,9.80
22-February-2018,923.15,930.75,920.00,923.90,925.201031566172555138,161502,3584,149421817.00,50352,31.18,10.75,0.75
21-February-2018,927.00,931.00,922.00,928.35,926.571146009343007653,201220,3938,186444646.00,75227,37.39,9.00,1.35
20-February-2018,928.00,930.00,916.00,919.40,922.801721925892764526,183167,3405,169026823.00,49695,27.13,14.00,-8.60
19-February-2018,920.30,930.60,914.40,925.85,921.818309458939943503,239308,5138,220598496.00,61200,25.57,16.20,5.55
16-February-2018,937.35,942.00,918.65,921.70,929.693424572317262830,241125,4569,224172327.00,54927,22.78,23.35,-15.65
15-February-2018,936.05,945.00,928.30,934.05,937.613761283081852104,312747,5587,293235891.00,82005,26.22,16.70,-2.00
14-February-2018,921.65,941.50,920.80,932.40,931.253805639711023071,429100,8212,399601008.00,96537,22.50,20.70,10.75
12-February-2018,901.10,918.00,901.10,914.70,910.316045248153251858,354136,5152,322375683.00,108700,30.69,16.90,13.60
9-February-2018,891.95,902.25,886.50,897.95,895.889200146155586101,402311,5784,360426080.00,153639,38.19,15.75,6.00
8-February-2018,896.35,910.00,892.05,903.60,903.311757926038813688,417327,6958,376976386.00,101494,24.32,17.95,7.25
7-February-2018,900.55,905.50,890.55,894.00,898.374157048502234972,374725,7365,336643256.00,118733,31.69,14.95,-6.55
6-February-2018,880.00,897.95,872.10,892.75,885.501489997378219244,1041277,17149,922052335.00,478704,45.97,25.85,12.75
5-February-2018,895.80,912.00,882.70,904.45,901.194372355977592920,386485,8805,348298107.00,115066,29.77,29.30,8.65
2-February-2018,938.70,943.25,903.00,905.70,917.489698307579102281,701244,13805,643384146.00,286344,40.83,40.25,-33.00
1-February-2018,964.40,971.25,938.20,944.10,951.972532136793596895,758632,9362,722196826.00,110955,14.63,33.05,-20.30
31-January-2018,950.00,964.90,942.00,961.15,958.798679391417356945,457062,5985,438230442.00,247419,54.13,22.90,11.15
30-January-2018,964.00,964.30,945.55,949.25,953.632642475101438583,694016,5373,661836312.00,479586,69.10,18.75,-14.75
29-January-2018,966.00,976.55,960.10,963.80,968.734805281791216151,418040,5161,404969898.00,250039,59.81,16.45,-2.20
25-January-2018,970.00,971.45,957.25,964.55,964.439822165766910130,421966,7960,406960814.00,224015,53.09,14.20,-5.45
24-January-2018,981.90,981.90,960.50,964.55,967.336634739241755729,441731,7404,427302579.00,181756,41.15,21.40,-17.35
23-January-2018,975.00,990.00,975.00,981.70,983.912499159952509315,669605,10836,658832729.00,204445,30.53,15.00,6.70
22-January-2018,948.50,974.50,940.10,971.20,956.786534343777167141,1773742,22829,1697092461.00,732409,41.29,34.40,22.70
